,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
139,"Get You The Moon (feat. Snøw)",Kina,847566,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
140,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",840110,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
141,"Money In The Grave (Drake ft. Rick Ross)",Drake,839327,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
142,"ocean eyes","Billie Eilish",838824,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
143,"Good as Hell (feat. Ariana Grande)",Lizzo,834502,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
144,"Ayy Macarena",Tyga,831363,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
145,Rare,"Selena Gomez",826290,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
146,Girl,"Myke Towers",813292,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
147,Filter,BTS,813191,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
148,Ransom,"Lil Tecca",810294,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
149,"Modern Loneliness",Lauv,808696,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
150,"SICKO MODE","Travis Scott",802749,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
151,Maniac,"Conan Gray",800833,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
152,Robbery,"Juice WRLD",797039,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
153,"Eastside (with Halsey & Khalid)","benny blanco",794276,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
154,Perfect,"Ed Sheeran",790701,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
155,"No Judgement","Niall Horan",788773,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
156,July,"Noah Cyrus",786949,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
157,"I Like Me Better",Lauv,781719,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
158,"Girls Like You (feat. Cardi B)","Maroon 5",778312,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
159,Infeliz,Arcangel,774747,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
160,"Commercial (feat. Lil Uzi Vert)","Lil Baby",771884,https://open.spotify.com/track/3tDqEKKUs6gf8zMvSuLyLA
161,SAD!,XXXTENTACION,770908,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
162,"Bellaquita - Remix",Dalex,770156,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
163,"Piece Of Your Heart",MEDUZA,769163,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
164,"Jocelyn Flores",XXXTENTACION,767389,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
165,"Futsal Shuffle 2020","Lil Uzi Vert",765560,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
166,Aventura,Lunay,763308,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
167,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,762314,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464
168,VIBEZ,DaBaby,758462,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
169,goosebumps,"Travis Scott",757781,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
170,"thank u, next","Ariana Grande",756324,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
171,"Sweet but Psycho","Ava Max",755394,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
172,Dior,"Pop Smoke",750192,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
173,"Old Me","5 Seconds of Summer",749325,https://open.spotify.com/track/5RUUkFNqH3GRKHg1xjprOb
174,"All of Me","John Legend",747869,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
175,"Que Tire Pa Lante","Daddy Yankee",744747,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
