,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
87,Woah,"Lil Baby",1186196,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
88,China,"Anuel AA",1167922,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
89,"No Me Conoce - Remix","Jhay Cortez",1164909,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
90,BOP,DaBaby,1161229,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
91,"Watermelon Sugar","Harry Styles",1159859,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
92,"The Other Side (from Trolls World Tour)",SZA,1159820,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
93,"Lucid Dreams","Juice WRLD",1159413,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
94,"Feel Me","Selena Gomez",1155615,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
95,"P FKN R","Bad Bunny",1152143,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
96,"Me Gusta",Shakira,1151544,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
97,Callaita,"Bad Bunny",1151060,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
98,"ON (Feat. Sia)",BTS,1132180,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
99,Fantasias,"Rauw Alejandro",1131306,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
100,"Never Seen the Rain","Tones and I",1110265,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
101,Falling,"Harry Styles",1105808,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
102,"Go Stupid","Polo G",1100101,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
103,SUGAR,BROCKHAMPTON,1092566,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
104,"7 rings","Ariana Grande",1084704,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
105,"It's You","Ali Gatie",1055117,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
106,"Puesto Pa' Guerrial","Bad Bunny",1037153,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
107,"Alone, Pt. II","Alan Walker",1036290,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
108,"Goodbyes (Feat. Young Thug)","Post Malone",1007328,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
109,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1005261,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
110,"No Idea","Don Toliver",992297,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
111,Lalala,Y2K,987155,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
112,"How Do You Sleep?","Sam Smith",971471,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
113,Blanco,"J Balvin",971289,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
114,"OUT WEST (feat. Young Thug)",JACKBOYS,966178,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
115,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",963538,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
116,"Black Swan",BTS,960810,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
117,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,959632,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
118,Happier,Marshmello,951897,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
119,Believer,"Imagine Dragons",940091,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
120,Heartless,"The Weeknd",935103,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
121,"rockstar (feat. 21 Savage)","Post Malone",929102,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
122,"Old Town Road - Remix","Lil Nas X",926645,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
123,Bruises,"Lewis Capaldi",923395,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
124,Sucker,"Jonas Brothers",917705,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
125,"Without Me",Halsey,895846,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
126,Medusa,"Jhay Cortez",895179,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
127,"Say You Won't Let Go","James Arthur",884082,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
128,Wow.,"Post Malone",883669,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
129,"Bohemian Rhapsody - 2011 Mix",Queen,878831,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
130,"Shape of You","Ed Sheeran",876371,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
131,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,865856,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
132,"Whine Up","Nicky Jam",857659,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
133,"Dancing With A Stranger (with Normani)","Sam Smith",855212,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
134,Definitivamente,"Daddy Yankee",847512,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
135,"Sum 2 Prove","Lil Baby",847153,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
136,"Lights Up","Harry Styles",846598,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
137,"Money In The Grave (Drake ft. Rick Ross)",Drake,845921,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
138,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",843252,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
139,"Get You The Moon (feat. Snøw)",Kina,843226,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
140,"Good as Hell (feat. Ariana Grande)",Lizzo,842618,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
141,"Ayy Macarena",Tyga,838359,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
142,"ocean eyes","Billie Eilish",836205,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
143,Ransom,"Lil Tecca",830156,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
144,"Boy With Luv (feat. Halsey)",BTS,824522,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
145,"Futsal Shuffle 2020","Lil Uzi Vert",820868,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
146,Supalonely,BENEE,819791,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
147,Rare,"Selena Gomez",819503,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
148,Girl,"Myke Towers",817345,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
149,"Live Off My Closet (feat. Future)","Lil Baby",815197,https://open.spotify.com/track/6AyWdCtEn1DdxjnxPeojR2
150,"SICKO MODE","Travis Scott",810582,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
151,Robbery,"Juice WRLD",806584,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
152,Maniac,"Conan Gray",803884,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
153,"Modern Loneliness",Lauv,800946,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
154,"Eastside (with Halsey & Khalid)","benny blanco",798895,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
155,Perfect,"Ed Sheeran",795810,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
156,"No Judgement","Niall Horan",795527,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
157,"I Like Me Better",Lauv,790374,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
158,SAD!,XXXTENTACION,785127,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
159,July,"Noah Cyrus",783698,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
160,"Jocelyn Flores",XXXTENTACION,781096,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
161,goosebumps,"Travis Scott",779533,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
162,"Piece Of Your Heart",MEDUZA,778769,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
163,"Girls Like You (feat. Cardi B)","Maroon 5",778551,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
164,"Sweet but Psycho","Ava Max",767535,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
165,"thank u, next","Ariana Grande",767512,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
166,Infeliz,Arcangel,766267,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
167,"Bellaquita - Remix",Dalex,762336,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
168,Aventura,Lunay,762328,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
169,VIBEZ,DaBaby,760812,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
170,Filter,BTS,758866,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
171,"Higher Love",Kygo,756976,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
172,"All of Me","John Legend",755185,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
173,"You Need To Calm Down","Taylor Swift",750778,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
174,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,750640,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464
175,"Que Tire Pa Lante","Daddy Yankee",749262,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
176,"me & ur ghost",blackbear,743873,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
177,"Better Now","Post Malone",743076,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
178,Dior,"Pop Smoke",742420,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
179,"Adicto (with Anuel AA & Ozuna)",Tainy,742127,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
180,"Old Me","5 Seconds of Summer",741435,https://open.spotify.com/track/5RUUkFNqH3GRKHg1xjprOb
181,"Can We Kiss Forever?",Kina,738936,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
182,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,738358,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
183,Starboy,"The Weeknd",734037,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
184,Takeaway,"The Chainsmokers",733660,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
185,"Boss Bitch","Doja Cat",730040,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
186,"Hate Me (with Juice WRLD)","Ellie Goulding",729987,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
187,I.F.L.Y.,Bazzi,728728,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
188,"If I Can't Have You","Shawn Mendes",727467,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
189,"Trampoline (with ZAYN)",SHAED,725011,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
190,"Commercial (feat. Lil Uzi Vert)","Lil Baby",720372,https://open.spotify.com/track/3tDqEKKUs6gf8zMvSuLyLA
191,"QUE PRETENDES","J Balvin",717478,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
192,Youngblood,"5 Seconds of Summer",716439,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
193,"bury a friend","Billie Eilish",716293,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
194,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",715441,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
195,"Be Alright","Dean Lewis",711459,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
196,"High Hopes","Panic! At The Disco",708867,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
197,"Truth Hurts",Lizzo,708235,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
198,"3 Nights","Dominic Fike",707402,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
199,PTSD,"G Herbo",706249,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
200,Quizas,"Rich Music LTD",705459,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
